hand,rank1,rank2,suited,scenario,gto_action,agent_action,agent_raw,correct,fold_prob,call_prob,raise_prob
AA,14,14,0,SB_RFI,raise,raise,4,True,1.6165573413218226e-07,9.68524727085196e-09,0.9999998530838639
AA,14,14,0,BB_vs_RFI,raise,raise,4,True,7.822168299753685e-07,3.683748843741341e-07,0.9999988228082657
AA,14,14,0,SB_vs_3bet,raise,raise,4,True,2.9653261890416616e-07,1.3745484750415926e-07,0.9999995529651642
AKs,14,13,1,SB_RFI,raise,raise,4,True,6.865861450933153e-06,2.3090474314813036e-06,0.9999907733872533
AKs,14,13,1,BB_vs_RFI,raise,raise,4,True,4.120538869756274e-05,3.2532047043787315e-05,0.9999261945486069
AKs,14,13,1,SB_vs_3bet,raise,raise,4,True,1.5772106962685939e-06,9.236641176357807e-07,0.9999974966049194
AKo,14,13,0,SB_RFI,raise,raise,4,True,0.00032099251984618604,0.0005832223687320948,0.9990958459675312
AKo,14,13,0,BB_vs_RFI,raise,raise,4,True,1.3874020623916294e-05,1.2982673069927841e-05,0.9999731220304966
AKo,14,13,0,SB_vs_3bet,raise,raise,4,True,4.845274816034362e-06,7.322213150473544e-06,0.9999878108501434
AQs,14,12,1,SB_RFI,raise,raise,4,True,5.129499186296016e-05,4.686788088292815e-05,0.999901782721281
AQs,14,12,1,BB_vs_RFI,raise,raise,4,True,2.527510559957591e-06,2.182543767048628e-06,0.9999952241778374
AQs,14,12,1,SB_vs_3bet,call,raise,4,False,1.5303302234315197e-06,3.632176458268077e-06,0.9999948143959045
AQo,14,12,0,SB_RFI,raise,raise,4,True,0.000385353370802477,0.000650166068226099,0.9989645555615425
AQo,14,12,0,BB_vs_RFI,call,raise,4,False,0.0002489376347512007,0.00037544037331826985,0.9993756301701069
AQo,14,12,0,SB_vs_3bet,call,raise,4,False,0.00013669312465935946,0.0005091888597235084,0.9993540942668915
AJs,14,11,1,SB_RFI,raise,raise,4,True,0.0005818787030875683,0.0007210937328636646,0.9986971020698547
AJs,14,11,1,BB_vs_RFI,raise,raise,4,True,8.114278898574412e-05,6.876208499306813e-05,0.9998501315712929
AJs,14,11,1,SB_vs_3bet,call,raise,4,False,0.00010151132300961763,0.0002617166319396347,0.9996367990970612
AJo,14,11,0,SB_RFI,raise,raise,4,True,0.00042636567377485335,0.00029100009123794734,0.9992825463414192
AJo,14,11,0,BB_vs_RFI,call,raise,4,False,0.00015088182408362627,0.00022841279860585928,0.99962068349123
AJo,14,11,0,SB_vs_3bet,call,raise,5,False,5.2127510571153834e-05,0.00014473665214609355,0.9998030513525009
ATs,14,10,1,SB_RFI,raise,raise,4,True,0.00025605791597627103,0.0002285440277773887,0.9995154105126858
ATs,14,10,1,BB_vs_RFI,raise,raise,4,True,3.793523501371965e-05,2.3277551008504815e-05,0.9999387636780739
ATs,14,10,1,SB_vs_3bet,call,raise,4,False,4.085028194822371e-05,7.310573710128665e-05,0.9998860955238342
ATo,14,10,0,SB_RFI,raise,raise,4,True,0.0011119040427729487,0.0031390266958624125,0.9957490116357803
ATo,14,10,0,BB_vs_RFI,call,raise,4,False,0.00022205483401194215,0.00032294218544848263,0.999454952776432
ATo,14,10,0,SB_vs_3bet,call,raise,4,False,5.5828237236710265e-05,0.00017788837430998683,0.9997662156820297
A9s,14,9,1,SB_RFI,raise,raise,4,True,0.008237185887992382,0.0065535069443285465,0.9852093085646629
A9s,14,9,1,BB_vs_RFI,call,raise,4,False,0.006679910235106945,0.009146429598331451,0.9841736778616905
A9s,14,9,1,SB_vs_3bet,call,raise,4,False,0.01206440944224596,0.027858098968863487,0.9600774794816971
A9o,14,9,0,SB_RFI,raise,raise,4,True,0.0015109401429072022,0.0012155788717791438,0.9972733855247498
A9o,14,9,0,BB_vs_RFI,call,raise,4,False,0.00037718756357207894,0.0005958303809165955,0.9990269988775253
A9o,14,9,0,SB_vs_3bet,call,raise,4,False,0.0014612808590754867,0.00535558583214879,0.9931831806898117
A8s,14,8,1,SB_RFI,raise,raise,4,True,0.0016222562408074737,0.0012451722286641598,0.997132558375597
A8s,14,8,1,BB_vs_RFI,call,raise,4,False,0.0005920216208323836,0.0008390792645514011,0.9985688664019108
A8s,14,8,1,SB_vs_3bet,call,raise,4,False,0.0004383110790513456,0.00034043582854792476,0.9992212019860744
A8o,14,8,0,SB_RFI,raise,raise,4,True,0.0031286156736314297,0.00475293816998601,0.9921185225248337
A8o,14,8,0,BB_vs_RFI,call,raise,4,False,0.0022056109737604856,0.007142119109630585,0.9906522184610367
A8o,14,8,0,SB_vs_3bet,fold,raise,4,False,0.0023183554876595736,0.016025852411985397,0.9816557914018631
A7s,14,7,1,SB_RFI,raise,raise,4,True,0.0040564583614468575,0.003237708704546094,0.9927058555185795
A7s,14,7,1,BB_vs_RFI,call,raise,3,False,0.008927706629037857,0.05088553950190544,0.9401867389678955
A7s,14,7,1,SB_vs_3bet,call,raise,4,False,0.0042698015458881855,0.023606039583683014,0.9721241742372513
A7o,14,7,0,SB_RFI,raise,raise,3,True,0.029539240524172783,0.021506942808628082,0.9489537458866835
A7o,14,7,0,BB_vs_RFI,call,raise,4,False,0.027527114376425743,0.038949958980083466,0.9335228726267815
A7o,14,7,0,SB_vs_3bet,fold,raise,3,False,0.041894517838954926,0.14740745723247528,0.8106980100274086
